"","time","mean_valssp_Acte","mean_valssp_ActeL","mean_valssp_ActeU","mean_valsfp_Acte","mean_valsfp_ActeL","mean_valsfp_ActeU","mean_valsdet_Acte","mean_valsdet_ActeL","mean_valsdet_ActeU","mean_valssp_Sumi","mean_valssp_SumiL","mean_valssp_SumiU","mean_valsfp_Sumi","mean_valsfp_SumiL","mean_valsfp_SumiU","mean_valsdet_Sumi","mean_valsdet_SumiL","mean_valsdet_SumiU"
"40",40,0.841474552406051,0.834505268017893,0.848176447212706,0.132058369520935,0.125842742833786,0.138558085119747,0.169753715666611,0.164272043661808,0.175401895058156,0.621478945590098,0.605967016162974,0.637240585288222,0.260856117124441,0.247797268924565,0.273724162434439,0.319963731780692,0.310625581237496,0.329744541592887
"41",41,0.840285322872079,0.833246738675217,0.847053302062454,0.133032197178846,0.126754533407872,0.139597765525646,0.168504725710311,0.163028576797737,0.174147754515029,0.619742534518897,0.604136923161484,0.635597621853209,0.262500859930725,0.249335811997882,0.275476855702036,0.318361211900883,0.308988003276147,0.328177156725439
"42",42,0.839088877944846,0.831980565619799,0.845923357547505,0.134012097261249,0.127671965470478,0.140643973559354,0.167263074032555,0.161792700217557,0.172900700961458,0.618003053991029,0.602303908743995,0.633951491690845,0.26415226699686,0.250880721628746,0.277236487723876,0.316762979554198,0.307355209376684,0.326613591647169
"43",43,0.837885199446952,0.830706731734455,0.844786594844197,0.134998091266701,0.128595059931426,0.141696731076908,0.166028744762497,0.160564395172632,0.171660721242286,0.61626054328784,0.600468019792122,0.632302227251681,0.265810318705382,0.252431984680079,0.279003031266971,0.315169060843486,0.305727226278032,0.325053871681301
"44",44,0.836674269555421,0.829425220330381,0.84364299541966,0.135990200522109,0.129523837570454,0.14275605971194,0.164801721640892,0.159343642522233,0.170427801819349,0.614515041992738,0.598629303503489,0.630649861268271,0.267474994797169,0.253989587473684,0.280776458346799,0.313579481496916,0.304104080280461,0.323498021833291
"45",45,0.835456070808177,0.82813601515451,0.84249254103748,0.136988446178332,0.130458319033542,0.143821980870454,0.163581988026655,0.158130422740755,0.169201928777411,0.61276658998804,0.596787807387284,0.628994426753056,0.269146274368904,0.255553515787427,0.282556740225338,0.311994266867401,0.302485797245327,0.321946066790032
"46",46,0.834230586110543,0.826839100396877,0.841335213763381,0.137992849205755,0.131398524829206,0.144894515725565,0.162369526903408,0.156924715924903,0.167983087830097,0.611015227451764,0.594943579259737,0.627335956996186,0.270824135870651,0.257123754852502,0.284343847409236,0.310413441932088,0.300872402594901,0.320398030919104
"47",47,0.832997798741759,0.825534460698005,0.840170995970944,0.139003430389824,0.132344475324759,0.145973685212198,0.161164320886004,0.155726501800854,0.166771264325811,0.60926099485436,0.593096667239531,0.625674485563301,0.272508557103526,0.258700289350766,0.286137749648133,0.30883703129191,0.299263921312255,0.318853938268091
"48",48,0.831757692361523,0.824222081156299,0.838999870347339,0.140020210326549,0.133296190742544,0.147059510021755,0.159966352227023,0.154535759731387,0.165566443253636,0.607503932955371,0.591247119743145,0.624010046293252,0.274199515217486,0.260283103412148,0.287938415933133,0.307265059171195,0.297660377941238,0.31731381256393
"49",49,0.830510251016544,0.822901947335458,0.83782181989909,0.141043209417974,0.134253691156132,0.148152010596748,0.158775602823259,0.153352468722975,0.164368609249231,0.605744082800047,0.589394985480124,0.622342673295781,0.275896986709228,0.261872180612142,0.289745814495419,0.305697549417336,0.296061796586511,0.315777677212321
"50",50,0.829255459147126,0.821574045271887,0.836636827957854,0.142072447867612,0.135216996486496,0.149251207125399,0.157592054222172,0.152176607432851,0.1631777466007,0.603981485715891,0.587540313448283,0.620672400949138,0.27760094742019,0.263467503969369,0.291559912805031,0.304134525500529,0.294468200913663,0.314245555297186
