"","time","mean_valssp_Acte","mean_valssp_ActeL","mean_valssp_ActeU","mean_valsfp_Acte","mean_valsfp_ActeL","mean_valsfp_ActeU","mean_valsdet_Acte","mean_valsdet_ActeL","mean_valsdet_ActeU","mean_valssp_Sumi","mean_valssp_SumiL","mean_valssp_SumiU","mean_valsfp_Sumi","mean_valsfp_SumiL","mean_valsfp_SumiU","mean_valsdet_Sumi","mean_valsdet_SumiL","mean_valsdet_SumiU"
"104",104,0.750477563719662,0.737338615261976,0.763200790184463,0.207402320615897,0.196631434445245,0.218860057223451,0.103698606085908,0.0988410994617748,0.108651926702992,0.506011329606813,0.485643960518409,0.52678241351443,0.378161230025379,0.358869394909497,0.39785855612563,0.226927585818979,0.216327992707836,0.238620397106286
"105",105,0.748808578953839,0.735570906540183,0.761626987616167,0.208797864706431,0.197941442500325,0.22034572360881,0.10287496927309,0.0980328176738278,0.107813340890705,0.504167934492521,0.483735865844439,0.525010994178205,0.380166832637269,0.360770452224086,0.3999660341439,0.225636498099772,0.215035665113558,0.237332000285864
"106",106,0.747132192235134,0.733795596256378,0.760046013910802,0.210200308654473,0.199258013467268,0.221838610923485,0.102057129397472,0.097230432518229,0.106980450552992,0.502324426058739,0.481828245273375,0.523238945181985,0.382176534783993,0.362675883370459,0.402077221260238,0.224350624203012,0.213748952062207,0.236048403271406
"107",107,0.745448420939189,0.732012709378097,0.758457880022768,0.21160965309783,0.2005811514046,0.223338715435358,0.101245057471329,0.0964339126194278,0.106153228980048,0.500480854424495,0.479921154273419,0.521466310937096,0.38419027588279,0.364585638347624,0.404192045517814,0.223069967361474,0.212467854347685,0.234769611506076
"108",108,0.743757283181612,0.730222271717589,0.756862597548856,0.213025898183313,0.201910859959834,0.224846032831147,0.100438724461452,0.0956432265759217,0.105331649399399,0.498637269715689,0.478014648251088,0.519693135913755,0.386207994813377,0.366499666632246,0.406310434430213,0.2217945304992,0.211192372430687,0.233495630150714
"109",109,0.742058797821955,0.72842430993518,0.755260178732545,0.214449043561889,0.20324714236496,0.226360558211336,0.0996381012928988,0.0948583429641251,0.104515684979529,0.496793722059645,0.476108782544779,0.517919464636623,0.388229629924453,0.368417917182935,0.408432314990634,0.220524316233736,0.209922506441567,0.232226464085507
"110",110,0.740352984467583,0.726618851542479,0.753650636468204,0.215879088383862,0.204590001431951,0.227882286085168,0.0988431588526921,0.0940792303421777,0.103705308833449,0.494950261579657,0.474203612418373,0.516145341680338,0.390255119040345,0.370340338444656,0.410557613681251,0.219259326878393,0.20865825618322,0.230962117911678
"111",111,0.738639863477411,0.724805924905416,0.752033984305212,0.217316031294102,0.205939439548289,0.229411210365699,0.0980538679934694,0.0933058572536936,0.102900494022233,0.493106938389537,0.472299193054834,0.514370811665053,0.39228439946781,0.372266878353267,0.412686256482723,0.217999564444527,0.207399621133987,0.229702595953204
"112",112,0.736919455965524,0.722985559247115,0.750410236451989,0.218759870427308,0.207295458672517,0.230947324364907,0.0972701995370744,0.0925381922314503,0.102101213558497,0.491263802588168,0.47039557954985,0.512595919251947,0.394317408002963,0.374197484340185,0.414818168883866,0.216745030643839,0.206146600450572,0.228447902258542
"113",113,0.735191783804671,0.721157784650605,0.748779407779933,0.220210603403308,0.208658060329813,0.232490620788877,0.0964921242780987,0.0917762038010195,0.101307440409835,0.489420904254059,0.468492826905476,0.510820709138738,0.396354080938367,0.376132103337178,0.416953275891468,0.215495726890696,0.204899192970982,0.227198040602395
"114",114,0.733456869629625,0.719322632061347,0.74714151382726,0.221668227322413,0.210027245607587,0.234041091733045,0.0957196129873708,0.0910198604843377,0.100519147502212,0.487578293439906,0.46659099002382,0.509045226055189,0.398394354070245,0.378070681781275,0.41909150204026,0.214251654304473,0.203657397217484,0.225953014487477
"115",115,0.731714736840416,0.7174801332896,0.745496570802758,0.223132738760805,0.211403015151111,0.235598728677508,0.0949526364153918,0.0902691308032196,0.0997363077233049,0.485736020167152,0.464690123700733,0.507269514758597,0.400438162705842,0.380013165619813,0.421232771403026,0.213012813711905,0.202421211399569,0.224712827146316
"116",116,0.729965409605425,0.715630321012597,0.743844595589425,0.224604133765977,0.212785369159167,0.237163522482416,0.0941911652957206,0.0895239832828121,0.0989588939258009,0.483894134420567,0.462790282619539,0.505493620029288,0.402485441670926,0.3819595003156,0.423377007600859,0.211779205649471,0.201190633416946,0.223477481543069
"117",117,0.728208912864349,0.713773228776551,0.742185605748026,0.22608240785222,0.214174307379735,0.23873546338343,0.0934351703483062,0.0887843864549912,0.0981868789306491,0.482052686142822,0.460891521344793,0.503717586666101,0.404536125317414,0.383909630852198,0.425524133813561,0.210550830365781,0.199965660862533,0.222246980375349
"118",118,0.726445272331014,0.711908890998471,0.740519619520527,0.227567555996158,0.215569829105704,0.240314540987251,0.0926846222827691,0.0880503088617006,0.0974202355302659,0.480211725229085,0.458993894316055,0.501941459481866,0.406590147531145,0.385863501739337,0.42767407279017,0.209327687823986,0.198746291025476,0.221021326076082
"119",119,0.724674514496062,0.710037342967801,0.738846655833444,0.229059572632343,0.216971933170619,0.241900744267242,0.0919394918016305,0.0873217190582338,0.0966589364916946,0.478371301521623,0.457097455841714,0.500165283298884,0.408647441739776,0.387821057018445,0.429826746859636,0.208109777704207,0.197532520894171,0.219800520815379
"120",120,0.722896666629481,0.708158620847862,0.737166734301064,0.230558451648892,0.218380617944461,0.243494061559112,0.0911997496034918,0.0865985856164584,0.0959029545597195,0.476531464804412,0.455202260092823,0.498389102944404,0.410707940920815,0.389782240268299,0.431982077941615,0.206897099405969,0.1963243471593,0.218584566502413
"121",121,0.721111756782996,0.70627276167711,0.735479875228573,0.232064186383188,0.219795881329464,0.245094480556696,0.0904653663861622,0.0858808771279851,0.0951522624599349,0.474692264797766,0.453308361096989,0.496612963246094,0.41277157760978,0.391746994610798,0.434139987557403,0.205689652050661,0.195121766216883,0.217373464787331
"122",122,0.719319813792305,0.704379803370195,0.733786099615059,0.233576769617637,0.221217720755966,0.246701988307813,0.0897363128497356,0.0851685622072791,0.0944068329017682,0.472853751152983,0.451415812732277,0.494836909027519,0.414838283908485,0.39371526271685,0.436300396840986,0.204487434484002,0.193924774171334,0.216167217063171
"123",123,0.71752086727917,0.702479784718838,0.732085429156414,0.235096193575483,0.222646133178303,0.248316571210212,0.0890125596996186,0.0844616094947173,0.0936666385814584,0.471015973446997,0.44952466872117,0.493060985103615,0.416907991493452,0.395686986812381,0.438463226550219,0.20329044527852,0.192733366838526,0.214965824467793
"124",124,0.715714947653351,0.700572745392489,0.730377886248103,0.236622449916684,0.224081115070733,0.249938215007608,0.0882940776495068,0.0837599876595888,0.0929316521849895,0.469178981177057,0.447634982624552,0.491285236276166,0.418980631624448,0.39766210868446,0.440628397078123,0.20209868273605,0.191547539748871,0.213769287885833
"125",125,0.713902086114383,0.698658725938809,0.728663493987832,0.238155529733855,0.225522662423418,0.251566904785807,0.0875808374243127,0.0830636654030411,0.0922018463909791,0.46734282375542,0.445746807835737,0.489509707329285,0.421056135153136,0.399640569687535,0.442795828464291,0.200912144890238,0.190367288150402,0.212577607950663
